title,series,author,rating,description,language,isbn,genres,characters,bookFormat,edition,pages,publisher,publishDate,firstPublishDate,awards,numRatings,ratingsByStars,likedPercent,setting,bbeScore,bbeVotes,price
Inferno,La Divina Commedia #1,"Dante Alighieri, Anthony M. Esolen (Translator)",4,"Of the great poets, Dante is one of the most elusive and therefore one of the most difficult to adequately render into English verse. In the Inferno, Dante not only judges sin but strives to understand it so that the reader can as well. With this major new translation, Anthony Esolen has succeeded brilliantly in marrying sense with sound, poetry with meaning, capturing both the poem’s line-by-line vigor and its allegorically and philosophically exacting structure, yielding an Inferno that will be as popular with general readers as with teachers and students. For, as Dante insists, without a trace of sentimentality or intellectual compromise, even Hell is a work of divine art.Esolen also provides a critical Introduction and endnotes, plus appendices containing Dante’s most important sources—from Virgil to Saint Thomas Aquinas and other Catholic theologians—that deftly illuminate the religious universe the poet inhabited.",English,9.78081E+12,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Fantasy', 'School', 'Italian Literature', 'Philosophy', 'Medieval']","['Virgilio (Publius Vergilius Maro)', 'Odysseus', 'Dante Alighieri', 'Beatrice (diverse works)', 'Paolo', 'Francesca', 'Charon (mythology)']",Paperback,,490,Modern Library,12-09-2003,10/28/07,"['Los Angeles Times Book Prize for Poetry (1995)', 'Премія імені Максима Рильського (2015)']",143016,"['53836', '48982', '29359', '8035', '2804']",92,[],27932,380,5.34
Like Water for Chocolate,Como agua para chocolate #1,"Laura Esquivel, Thomas Christensen (Goodreads Author) (Translator), Carol Christensen (Translator)",3.95,"Earthy, magical, and utterly charming, this tale of family life in turn-of-the-century Mexico became a best-selling phenomenon with its winning blend of poignant romance and bittersweet wit.The number one bestseller in Mexico and America for almost two years, and subsequently a bestseller around the world, Like Water For Chocolate is a romantic, poignant tale, touched with moments of magic, graphic earthiness, bittersweet wit - and recipes. A sumptuous feast of a novel, it relates the bizarre history of the all-female De La Garza family. Tita, the youngest daughter of the house, has been forbidden to marry, condemned by Mexican tradition to look after her mother until she dies. But Tita falls in love with Pedro, and he is seduced by the magical food she cooks. In desperation, Pedro marries her sister Rosaura so that he can stay close to her, so that Tita and Pedro are forced to circle each other in unconsummated passion. Only a freakish chain of tragedies, bad luck and fate finally reunite them against all the odds.",English,9.78055E+12,"['Fiction', 'Romance', 'Magical Realism', 'Historical Fiction', 'Classics', 'Fantasy', 'Food', 'Spanish Literature', 'Adult', 'Novels']","['Tita de la Garza', 'Gertrudis de la Garza', 'Rosaura de la Garza', 'Mamá Elena', 'Pedro Muzquiz', 'John Brown', 'Nacha', 'Chencha', 'Juan Alejandrez']",Paperback,,222,Black Swan,09/16/93,10/28/89,"['Prêmio Jabuti for Tradução (1994)', 'American Booksellers Book Of The Year  Award for Adult Trade (1994)']",324463,"['115250', '114264', '67712', '17779', '9458']",92,['Mexico'],27863,395,2.6
Breakfast at Tiffany's and Three Stories,,Truman Capote,3.88,"It's New York in the 1940s, where the martinis flow from cocktail hour till breakfast at Tiffany's. And nice girls don't, except, of course, Holly Golightly. Pursued by Mafia gangsters and playboy millionaires, Holly is a fragile eyeful of tawny hair and turned-up nose, a heart-breaker, a perplexer, a traveller, a tease. She is irrepressibly 'top banana in the shock department', and one of the shining flowers of American fiction.This edition also contains three stories: 'House of Flowers', 'A Diamond Guitar' and 'A Christmas Memory'.",English,1E+13,"['Classics', 'Fiction', 'Short Stories', 'Romance', 'American', 'Literature', 'Audiobook', 'Novels', '20th Century', 'New York']","['Holly Golightly', 'Doc Golightly', 'Joe Bell', 'I.Y. Yunioshi']",Paperback,,142,Vintage Books,10/28/93,10-12-1958,[],211460,"['60253', '83160', '53852', '11459', '2736']",93,"['New York City, New York (United States)', ""New York City's Upper East Side (United States)"", 'New York City, New York (United States)']",27600,387,
Room,,Emma Donoghue (Goodreads Author),4.06,"To five-year-old-Jack, Room is the world....Told in the inventive, funny, and poignant voice of Jack, Room is a celebration of resilience—and a powerful story of a mother and son whose love lets them survive the impossible.To five-year-old Jack, Room is the entire world. It is where he was born and grew up; it's where he lives with his Ma as they learn and read and eat and sleep and play. At night, his Ma shuts him safely in the wardrobe, where he is meant to be asleep when Old Nick visits. Room is home to Jack, but to Ma, it is the prison where Old Nick has held her captive for seven years. Through determination, ingenuity, and fierce motherly love, Ma has created a life for Jack. But she knows it's not enough ... not for her or for him. She devises a bold escape plan, one that relies on her young son's bravery and a lot of luck. What she does not realize is just how unprepared she is for the plan to actually work. Told entirely in the language of the energetic, pragmatic five-year-old Jack, Room is a celebration of resilience and the limitless bond between parent and child, a brilliantly executed novel about what it means to journey from one world to another.",English,B003YFIUW8,"['Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Book Club', 'Audiobook', 'Thriller', 'Drama', 'Realistic Fiction', 'Crime']","['Jack Tenpenny', 'Ma', 'Old Nick']",Kindle Edition,,321,"Little, Brown and Company",09/13/10,08/20/10,"['Booker Prize Nominee (2010)', 'Orange Prize Nominee for Fiction Shortlist (2011)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013)"", 'ALA Alex Award (2011)', 'Indies Choice Book Award for Fiction (2011)', 'Bord Gáis Energy Irish Book Award for Hughes & Hughes Irish Novel of the Year (2010)', 'Canadian Booksellers Association Libris Award for Fiction Book (2011)', 'Lincoln Award Nominee (2014)', 'Galaxy National Book Award for WHSmith Paperback of the Year (2011)', ""Commonwealth Writers' Prize for Best Book in Caribbean and Canada (2011)"", 'Trillium Book Award Nominee for English-language (2011)', 'UC Book of the Year (2014)', 'Eason Novel of the Year (2010)', ""Rogers Writers' Trust Fiction Prize (2010)"", 'OLA Evergreen Award (2011)', 'Goodreads Choice Award for Fiction (2010)', 'International Dublin Literary Award Nominee (2012)']",714395,"['270390', '275433', '121971', '32204', '14397']",93,[],27254,336,
Dragonfly in Amber,Outlander #2,Diana Gabaldon (Goodreads Author),4.32,"From the author of Outlander... a magnificent epic that once again sweeps us back in time to the drama and passion of 18th-century Scotland...For twenty years Claire Randall has kept her secrets. But now she is returning with her grown daughter to Scotland's majestic mist-shrouded hills. Here Claire plans to reveal a truth as stunning as the events that gave it birth: about the mystery of an ancient circle of standing stones ...about a love that transcends the boundaries of time ...and about James Fraser, a Scottish warrior whose gallantry once drew a young Claire from the security of her century to the dangers of his ....Now a legacy of blood and desire will test her beautiful copper-haired daughter, Brianna, as Claire's spellbinding journey of self-discovery continues in the intrigue-ridden Paris court of Charles Stuart ...in a race to thwart a doomed Highlands uprising ...and in a desperate fight to save both the child and the man she loves....",English,9.78039E+12,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance', 'Audiobook', 'Scotland', 'Adult']","['Jamie Fraser', 'Brianna Randall', 'Roger MacKenzie', 'Fergus Fraser', 'Ian Murray', 'Claire Randall Fraser', 'Jonathan Randall', 'Dougal MacKenzie', 'Colum MacKenzie', 'Geillis Duncan', 'Jenny Murray', 'Frank Randall', 'Murtagh Fraser']",Paperback,,963,Bantam,08-07-2001,07-01-1992,['RITA Award by Romance Writers of America Nominee for Best Romance of the Year & Futuristic/Fantasy/Paranormal Romance (1993)'],287189,"['146929', '95398', '36063', '6752', '2047']",97,"['Le Havre (France)', 'Paris (France)', 'Inverness, Scotland', 'Scottish Highlands']",27247,342,4.8
Breakfast of Champions,,Kurt Vonnegut Jr.,4.07,"Alternate cover for this ISBN can be found hereIn Breakfast of Champions, one of Kurt Vonnegut’s  most beloved characters, the aging writer Kilgore Trout, finds to his horror that a Midwest car dealer is taking his fiction as truth. What follows is murderously funny satire, as Vonnegut looks at war, sex, racism, success, politics, and pollution in America and reminds us how to see the truth.",English,9.78039E+12,"['Fiction', 'Classics', 'Science Fiction', 'Humor', 'Literature', 'Novels', 'American', 'Literary Fiction', 'Audiobook', 'Comedy']","['Kilgore Trout', 'Eliot Rosewater', 'Rabo Karabekian', 'Dwayne Hoover', 'Francine Pefko', 'Kazak', 'Wayne Hoobler', 'Cyprian Ukwende', 'Celia Hoover', 'Harry LeSabre', 'Bunny Hoover', 'Beatrice Keedlser', 'Bonnie MacMahon']",Paperback,,303,Dell Publishing,05/28/99,07-12-1973,[],222835,"['84123', '85743', '41092', '9070', '2807']",95,['United States of America'],27035,340,2.82
The BFG,,"Roald Dahl, Quentin Blake (Illustrator)",4.22,"Captured by a giant! The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, the Fleshlumpeater, the Bonecruncher, or any of the other giants-rather than the BFG-she would have soon become breakfast. When Sophie hears that they are flush-bunking off in England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",English,9.78014E+12,"['Fantasy', 'Childrens', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Humor', 'Adventure', 'Audiobook', 'Juvenile']","['the Big Friendly Giant', 'Queen Elizabeth II', 'Sophie (the BFG)', 'The Fleshlumpeater', 'The Bonecruncher', 'The Manhugger', 'The Childchewer', 'The Meatdripper', 'The Gizzardgulper', 'The Maidmasher', 'The Bloodbottler', 'The Butcher Boy', 'Mary (the BFG)', 'Mr. Tibbs (the BFG)']",Paperback,,199,Puffin Books,10/28/01,11-01-1982,"['Zilveren Griffel (1984)', 'Books I Loved Best Yearly (BILBY) Awards for Read Aloud, Read Alone (1991)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1985)"", ""Red House Children's Book Award (1983)"", 'Deutscher Jugendliteraturpreis for Kinderbuch (1985)']",373279,"['181409', '117552', '56771', '11846', '5701']",95,"['United Kingdom', 'London, England', 'England']",27029,366,2.75
Six of Crows,The Six of Crows Trilogy #1,Leigh Bardugo (Goodreads Author),4.43,Ketterdam: a bustling hub of international trade where anything can be had for the right price—and no one knows that better than criminal prodigy Kaz Brekker. Kaz is offered a chance at a deadly heist that could make him rich beyond his wildest dreams. But he can’t pull it off alone. . . .A convict with a thirst for revengeA sharpshooter who can’t walk away from a wagerA runaway with a privileged pastA spy known as the WraithA Heartrender using her magic to survive the slumsA thief with a gift for unlikely escapesKaz’s crew is the only thing that might stand between the world and destruction—if they don’t kill each other first.,English,9.78163E+12,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic', 'Romance', 'LGBT', 'High Fantasy', 'Audiobook']","['Inej Ghafa', 'Kaz Brekker', 'Jesper Fahey', 'Wylan Van Eck', 'Matthias Helvar', 'Nina Zenik']",Hardcover,,465,Henry Holt and Company,09/29/15,,"[""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017)"", 'Rhode Island Teen Book Award Nominee (2018)', 'Evergreen Teen Book Award Nominee (2018)', 'Milwaukee County Teen Book Award Nominee (2017)', 'Lincoln Award (2018)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2015)', 'Missouri Gateway Readers Award Nominee (2017)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2016)', 'Hea Noorteraamat (2017)']",315707,"['187881', '90755', '26115', '6821', '4135']",97,['Ketterdam'],26978,297,5.78
Harry Potter Series Box Set,Harry Potter #1-7,J.K. Rowling,4.73,"Over 4000 pages of Harry Potter and his world, including all 7 books.
The Origin of Species,,Charles Darwin,3.98,"Darwin's theory of natural selection issued a profound challenge to orthodox thought and belief: no being or species has been specifically created; all are locked into a pitiless struggle for existence, with extinction looming for those not fitted for the task. Yet The Origin of Species (1859) is also a humane and inspirational vision of ecological interrelatedness, revealing the complex mutual interdependencies between animal and plant life, climate and physical environment, and—by implication—within the human world. Written for the general reader, in a style which combines the rigour of science with the subtlety of literature, The Origin of Species remains one of the founding documents of the modern age.",English,9.78079E+12,"['Science', 'Nonfiction', 'Classics', 'Biology', 'Evolution', 'Philosophy', 'History', 'Nature', 'Anthropology', 'Reference']",[],Hardcover,,703,Castle Books,05-01-2004,11/24/59,[],99334,"['40064', '30254', '19434', '5763', '3819']",90,[],26616,365,5.58
A Fine Balance,,Rohinton Mistry,4.35,"With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India. The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers--a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village--will be thrust together, forced to share one cramped apartment and an uncertain future. As the characters move from distrust to friendship and from friendship to love, A Fine Balance creates an enduring panorama of the human spirit in an inhuman state.",English,9.7814E+12,"['Fiction', 'India', 'Historical Fiction', 'Canada', 'Indian Literature', 'Asia', 'Literary Fiction', 'Novels', 'Literature', 'Historical']","['Maneck Kohlah', 'Omprakash Darji', 'Ishvar Darji', 'Dina Dalal', 'Rustom Dalal', 'Nusswan Shroff', 'Vasantrao Valmik', 'Thakur Dharamsi', 'Ashraf Chacha', 'Rajaram', 'Shankar', 'Beggar Master']",Paperback,,603,Vintage,11/30/01,10/28/95,"['Booker Prize Nominee (1996)', 'Winifred Holtby Memorial Prize (1996)', 'Scotiabank Giller Prize (1995)', 'Los Angeles Times Book Prize for Fiction (1996)', ""Commonwealth Writers' Prize for Best Book Overall (1996)"", 'CBC Canada Reads Nominee (2002)', 'International Dublin Literary Award Nominee for Shortlist (1997)']",129262,"['72051', '37946', '13361', '3848', '2056']",95,"['India', 'Bombay (India)']",26200,312,7.31
Daughter of Smoke & Bone,Daughter of Smoke & Bone #1,Laini Taylor (Goodreads Author),4.01,"Around the world, black hand prints are appearing on doorways, scorched there by winged strangers who have crept through a slit in the sky.In a dark and dusty shop, a devil’s supply of human teeth grows dangerously low.And in the tangled lanes of Prague, a young art student is about to be caught up in a brutal otherworldly war.Meet Karou. She fills her sketchbooks with monsters that may or may not be real, she’s prone to disappearing on mysterious ""errands"", she speaks many languages - not all of them human - and her bright blue hair actually grows out of her head that color. Who is she? That is the question that haunts her, and she’s about to find out.When beautiful, haunted Akiva fixes fiery eyes on her in an alley in Marrakesh, the result is blood and starlight, secrets unveiled, and a star-crossed love whose roots drink deep of a violent past. But will Karou live to regret learning the truth about herself?",English,9.78032E+12,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Angels', 'Urban Fantasy', 'Fiction', 'Magic', 'Young Adult Fantasy', 'Supernatural']","['Madrigal', 'Karou', 'Akiva (Daughter of Smoke & Bone)', 'Kazimir', 'Zuzana', 'Issa', 'Brimstone', 'Thiago', 'Mik', 'Ziri']",Hardcover,US,418,"Little, Brown Books for Young Readers",09/27/11,,"['Locus Award Nominee for Best Young Adult Novel (2012)', 'Audie Award for Fantasy (2012)', 'Rhode Island Teen Book Award Nominee (2013)', 'Milwaukee County Teen Book Award Nominee (2013)', ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)"", 'The Inky Awards Nominee for Silver Inky (2012)', 'California Young Readers Medal Nominee for Young Adult (2015)', 'Oregon Spirit Book Award for Young Adult (2011)', 'Lincoln Award Nominee (2014)', 'Andre Norton Award Nominee (2011)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book (2011)', 'The Inky Awards Shortlist for Silver Inky (2012)', 'Missouri Gateway Readers Award Nominee (2014)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)']",310751,"['124211', '103821', '54394', '17960', '10365']",91,"['Prague (Praha) (Czech Republic)', 'Marrakech (Marrakesh) (Morocco)', 'Eretz']",26196,308,4.99
The Strange Case of Dr. Jekyll and Mr. Hyde,,"Robert Louis Stevenson, Vladimir Nabokov (Introduction), Mervyn Peake (Illustrator), Théo Varlet (Translation), Patrick Horgan (Narrator), Dan Chaon (Goodreads Author) (Afterword)",3.82,"Strange Case of Dr Jekyll and Mr Hyde is the original title of a novella written by the famous Scottish author Robert Louis Stevenson that was first published in 1886. The work is commonly known today as The Strange Case of Dr Jekyll and Mr Hyde, Dr Jekyll and Mr Hyde, or simply Jekyll & Hyde. It is about a London lawyer named John Gabriel Utterson who investigates strange occurrences between his old friend, Dr Henry Jekyll, and the evil Edward Hyde.",English,9.78045E+12,"['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Mystery', 'Gothic', 'Fantasy', 'Literature', '19th Century', 'School']","['Mr Gabriel John Utterson', 'Dr. Hastie Lanyon', 'Dr. Henry Jekyll', 'Mr Edward Hyde', 'Richard Enfield', 'Poole (Jekyll & Hyde)']",Paperback,,144,Signet Classics,09-02-2003,01-05-1986,['Independent Publisher Book Award (IPPY) for Audio Fiction - Abridged (1999)'],384495,"['99183', '149260', '108235', '22772', '5045']",93,"['London, England', 'England', 'United Kingdom']",26156,381,3.35
City of Heavenly Fire,The Mortal Instruments #6,Cassandra Clare (Goodreads Author),4.44,"In this dazzling and long-awaited conclusion to the acclaimed Mortal Instruments series, Clary and her friends fight the greatest evil they have ever faced: Clary's own brother.Sebastian Morgenstern is on the move, systematically turning Shadowhunter against Shadowhunter. Bearing the Infernal Cup, he transforms Shadowhunters into creatures out of nightmare, tearing apart families and lovers as the ranks of his Endarkened army swell.The embattled Shadowhunters withdraw to Idris - but not even the famed demon towers of Alicante can keep Sebastian at bay. And with the Nephilim trapped in Idris, who will guard the world against demons?When one of the greatest betrayals the Nephilim have ever known is revealed, Clary, Jace, Isabelle, Simon, and Alec must flee - even if their journey takes them deep into the demon realms, where no Shadowhunter has set foot before, and from which no human being has ever returned...Love will be sacrificed and lives lost in the terrible battle for the fate of the word in the thrilling final installment of the classic urban fantasy series The Mortal Instruments!",English,9.78148E+12,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Vampires', 'Angels', 'Fiction', 'Magic', 'Supernatural']","['Alexander ""Alec"" Lightwood', 'Jonathan ""Jace"" Wayland', 'Isabelle ""Izzy"" Sophia Lightwood', 'Theresa ""Tessa"" Gray', 'Magnus Bane', 'Jordan Kyle', 'Maia Roberts', 'Jocelyn Fray', 'Luke Garroway', 'Sebastian Morgenstern', 'Clarissa ""Clary"" Fray', 'Simon Lewis']",Hardcover,,725,Margaret K. McElderry Books,05/27/14,,"['Goodreads Choice Award for Young Adult Fantasy (2014)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2014)']",288767,"['177308', '73444', '28112', '6818', '3085']",97,"['New York City, New York (United States)', 'Alicante, Idris']",26082,325,8.37
Evermore,The Immortals #1,Alyson Noel (Goodreads Author),3.59,"The first book in Alyson Noël's extraordinary new Immortals series. Enter an enchanting new world, where true love never dies...After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her abilities, she has been branded a freak at her new high school—but everything changes when she meets Damen Auguste.Damen is gorgeous, exotic and wealthy. He's the only one who can silence the noise and random energy in her head—wielding a magic so intense, it's as though he can peer straight into her soul. As Ever is drawn deeper into his enticing world of secrets and mystery, she's left with more questions than answers. And she has no idea just who he really is—or what he is. The only thing she knows to be true is that she's falling deeply and helplessly in love with him.",English,9.78031E+12,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Urban Fantasy', 'Vampires', 'Magic']","['Ever Bloom', 'Damen Auguste', 'Drina', 'Miles', 'Haven Turner']",Paperback,1st Edition,301,St. Martin's Griffin,02-03-2009,,"['Lincoln Award Nominee (2011)', 'Goodreads Choice Award Nominee for Favorite Book & Young Adult Series (2009)']",262776,"['79855', '65550', '65755', '32582', '19034']",80,"['Laguna Beach, California (United States)']",26077,316,1.45
The Subtle Knife,His Dark Materials #2,Philip Pullman,4.13,"The second instalment in Philip Pullman’s His Dark Materials trilogy, join Lyra as her terrifying journey continues.-----She had asked: What is he? A friend or an enemy?The alethiometer answered: He is a murderer.When she saw the answer, she relaxed at once.Lyra finds herself in a shimmering, haunted otherworld – Cittàgazze, where soul-eating Spectres stalk the streets and wingbeats of distant angels sound against the sky.But she is not without allies: twelve-year-old Will Parry, fleeing for his life after taking another's, has also stumbled into this strange new realm.On a perilous journey from world to world, Lyra and Will uncover a deadly secret: an object of extraordinary and devastating power.And with every step, they move closer to an even greater threat – and the shattering truth of their own destiny.",English,B00SSJYF8S,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Science Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Steampunk', 'Magic']","['Lyra Belacqua', 'Will Parry', 'Mary Malone', 'Pantalaimon', 'Marisa Coulter', 'Lee Scoresby', 'Stanislaus Grumman', 'Serafina Pekkala', 'Hester']",Kindle Edition,,370,RHCP Digital,09/28/18,07/22/97,"[""Audie Award for Children's Titles Ages 8-12 (2001)"", 'North East Teenage Book Award Nominee (1999)']",366084,"['152669', '132833', '61335', '14116', '5131']",95,[],25809,346,
Death of a Salesman,,Arthur Miller,3.53,"'For a salesman, there is no rock bottom to life. He don't put a bolt to a nut, he don't tell you the law or give you medicine. He's a man way out there in the blue, riding on a smile and a shoeshine.'Willy Loman has been a salesman for 34 years. At 60, he is cast aside, his usefulness now exhausted. With no future to dream about he must face the crushing disappointments of his past. He takes one final brave action, but is he heroic at last?, or a self-deluding fool?",English,9.78044E+12,"['Plays', 'Classics', 'Fiction', 'Drama', 'School', 'Theatre', 'Literature', 'Read For School', 'High School', 'American']","['Willy Loman', 'Linda Loman', 'Happy Loman', 'Biff Loman', 'Ben Loman', 'Howard Wagner']",Hardcover,,117,Heinemann Library,03/18/94,10/28/49,"['Pulitzer Prize for Drama (1949)', ""New York Drama Critics' Circle Award for Best American Play (1949)""]",185760,"['39158', '59239', '56425', '22760', '8178']",83,"['New York City, New York (United States)']",25760,400,3.92
11/22/63,,Stephen King (Goodreads Author),4.31,"Jake Epping is a thirty-five-year-old high school English teacher in Lisbon Falls, Maine, who makes extra money teaching adults in the GED program. He receives an essay from one of the students—a gruesome, harrowing first person story about the night 50 years ago when Harry Dunning’s father came home and killed his mother, his sister, and his brother with a hammer. Harry escaped with a smashed leg, as evidenced by his crooked walk.Not much later, Jake’s friend Al, who runs the local diner, divulges a secret: his storeroom is a portal to 1958. He enlists Jake on an insane—and insanely possible—mission to try to prevent the Kennedy assassination. So begins Jake’s new life as George Amberson and his new world of Elvis and JFK, of big American cars and sock hops, of a troubled loner named Lee Harvey Oswald and a beautiful high school librarian named Sadie Dunhill, who becomes the love of Jake’s life—a life that transgresses all the normal rules of time.",English,9.78145E+12,"['Fiction', 'Historical Fiction', 'Science Fiction', 'Time Travel', 'Fantasy', 'Horror', 'Thriller', 'Audiobook', 'Historical', 'Mystery']","['John F. Kennedy', 'Lee Harvey Oswald', 'Jake Epping', 'Al Templeton', 'Harry Dunning', 'Marina Oswald', 'Bill Titus', 'Sadie Dunhill', 'Yellow Card Man', 'Deacon ""Deke"" Simmons', 'Ellen Dockerty', 'George de Mohrenschildt', 'Richie Tozier', 'Beverly Marsh']",Hardcover,,849,Scribner,11-08-2011,,"['Locus Award Nominee for Best SF Novel (2012)', 'World Fantasy Award Nominee for Best Novel (2012)', 'ITW Thriller Award for Best Hard Cover Novel (2012)', ""Grand Prix de l'Imaginaire Nominee for Roman étranger (2014)"", 'British Fantasy Award Nominee for Best Novel (2012)', 'このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (2014)', '本屋大賞 Nominee for Translated Fiction (2014)', 'Goodreads Choice Award for Science Fiction (2011) and Nominee for Best of the Best  (2018)']",420225,"['211250', '146725', '47310', '10472', '4468']",96,"['Maine (United States)', 'Derry, Maine (United States)', 'Jodie, Texas (United States)']",25504,309,6.21
The Plague,,"Albert Camus, Stuart Gilbert (Translator)",4.01,"A gripping tale of human unrelieved horror, of survival and resilience, and of the ways in which humankind confronts death, The Plague is at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents, unheeded by the people. It gradually becomes an omnipresent reality, obliterating all traces of the past and driving its victims to almost unearthly extremes of suffering, madness, and compassion.",English,1E+13,"['Fiction', 'Classics', 'Philosophy', 'France', 'Literature', 'French Literature', 'Novels', '20th Century', 'Literary Fiction', 'Africa']","['Raoul', 'Dr Bernard Rieux', 'Father Paneloux', 'Joseph Grand', 'Raymond Rambert', 'Jean Tarrou', 'Cottard', 'M. Othon', 'Garcia', 'Gonzales', 'Dr. Castel', 'Dr. Richard', 'Jacques Othon', 'The Prefect', 'Mme. Rieux', 'Asthma Patient', 'Marcel']",Paperback,First Vintage International Edition,308,Vintage International,03/28/91,06/28/47,['Prix des Critiques (1947)'],171478,"['58445', '67963', '34834', '8064', '2172']",94,"['Oran (Algeria)', 'Algeria']",25332,345,
Midnight in the Garden of Good and Evil,,John Berendt,3.92,"A sublime and seductive reading experience. Brilliantly conceived and masterfully written, this enormously engaging portrait of a most beguiling Southern city has become a modern classic.Shots rang out in Savannah's grandest mansion in the misty, early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this hauntingly beautiful city of moss-hung oaks and shaded squares. John Berendt's sharply observed, suspenseful, and witty narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt skillfully interweaves a hugely entertaining first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case.It is a spellbinding story peopled by a gallery of remarkable characters: the well-bred society ladies of the Married Woman's Card Club; the turbulent young redneck gigolo; the hapless recluse who owns a bottle of poison so powerful it could kill every man, woman, and child in Savannah; the aging and profane Southern belle who is the ""soul of pampered self-absorption""; the uproariously funny black drag queen; the acerbic and arrogant antiques dealer; the sweet-talking, piano-playing con artist; young blacks dancing the minuet at the black debutante ball; and Minerva, the voodoo priestess who works her magic in the graveyard at midnight. These and other Savannahians act as a Greek chorus, with Berendt revealing the alliances, hostilities, and intrigues that thrive in a town where everyone knows everyone else.",English,9.78068E+12,"['Nonfiction', 'True Crime', 'Mystery', 'Crime', 'History', 'Southern', 'Classics', 'Travel', 'Memoir', 'Audiobook']","['Jim Williams', 'Danny Hansford']",Paperback,,386,Vintage,06/28/99,01/13/94,"['Pulitzer Prize Nominee for General Nonfiction (1995)', 'Exclusive Books Boeke Prize (1995)', 'Ferro-Grumley Award for Gay Fiction (Non-Fiction) (1994)', ""Lambda Literary Award for Gay Men's Mystery (1995)""]",223939,"['67102', '89467', '52483', '11519', '3368']",93,"['Savannah, Georgia (United States)']",25322,357,4.43
A Streetcar Named Desire,,Tennessee Williams,3.98,"The Pulitzer Prize and Drama Critics Circle Award winning play—reissued with an introduction by Arthur Miller (Death of a Salesman and The Crucible), and Williams’ essay “The World I Live In.”It is a very short list of 20th-century American plays that continue to have the same power and impact as when they first appeared—57 years after its Broadway premiere, Tennessee Williams’ A Streetcar Named Desire is one of those plays. The story famously recounts how the faded and promiscuous Blanche DuBois is pushed over the edge by her sexy and brutal brother-in-law, Stanley Kowalski. Streetcar launched the careers of Marlon Brando, Jessica Tandy, Kim Hunter, and Karl Malden, and solidified the position of Tennessee Williams as one of the most important young playwrights of his generation, as well as that of Elia Kazan as the greatest American stage director of the ’40s and ’50s.",English,9.78082E+12,"['Plays', 'Classics', 'Drama', 'Fiction', 'School', 'Theatre', 'American', 'Literature', 'Read For School', 'High School']","['Blanche DuBois', 'Stanley Kowalski', 'Stella Kowalski', 'Harold Mitchel', 'Eunice Hubbel', 'Steve Hubbel', 'Pablo Gonzales', 'Negro Woman', 'Baby', 'Matron', 'Doctor', 'Mexican Woman', 'Young Collector']",Paperback,,107,Dramatists Play Service,12-01-1952,10/28/47,"['Pulitzer Prize for Drama (1948)', ""New York Drama Critics' Circle Award for Best American Play (1948)""]",261257,"['92878', '94157', '55892', '13926', '4404']",93,"['New Orleans, Louisiana (United States)']",25241,386,5.26
